"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","equality works","test/src/data/models/event_test.dart","2026-04-01","passed","2026-04-01","","Event","",""
"","26","does not render button when onRetry is null","test/src/ui/widgets/common/minglit_error_state_test.dart","2026-04-01","passed","2026-04-01","","MinglitErrorState","",""
"","5","born 25 years ago returns 26","test/src/utils/age_util_test.dart","2026-04-01","passed","2026-04-01","calculateKoreanAge","AgeUtil","",""
"","30","renders 심사중 for pending_review status","test/src/common/widgets/status_badge_test.dart","2026-04-01","passed","2026-04-01","","StatusBadge","",""
"","282","저장 성공 시 선택한 동의를 저장하고 원래 경로로 이동한다","test/src/features/consent/ui/signup_consent_page_test.dart","2026-04-01","passed","2026-04-01","","","",""
"","34","shows drag handle by default","test/src/ui/widgets/common/minglit_bottom_sheet_test.dart","2026-04-01","passed","2026-04-01","","MinglitBottomSheet","",""
"","10","overwrites existing key","test/src/features/event/admission/event_application_controller_test.dart","2026-04-01","passed","2026-04-01","updateVerificationData","EventApplicationController","",""
"","3","isEffectivelyPrivate returns false when public","test/src/data/models/event_test.dart","2026-04-01","passed","2026-04-01","","Event","",""
"","181","shows CHECKED_IN status text after check-in","test/src/features/home/widgets/event_now_bar_test.dart","2026-04-01","passed","2026-04-01","","EventNowBar","",""
"","4","returns pending count","test/src/data/repositories/event_repository_test.dart","2026-04-01","passed","2026-04-01","getPendingApplicationCount","EventRepository","",""
"","2","returns stored value when key is present in map","test/src/data/models/metadata_key_test.dart","2026-04-01","passed","2026-04-01","","MetadataMapX.getValue","",""
"","181","로그인 상태: 로그인 복귀 경로가 consent 페이지면 consent 페이지로 돌아간다","test/integration/consent_redirect_test.dart","2026-04-01","passed","2026-04-01","","Signup Consent Redirect Flow","",""
"","39","expand=true makes button full width","test/src/ui/widgets/common/minglit_button_test.dart","2026-04-01","passed","2026-04-01","","MinglitButton","",""
"","45","empty state CTA uses titleMedium font size from theme","test/src/features/my_tickets/ui/my_tickets_page_test.dart","2026-04-01","passed","2026-04-01","","MyTicketsPage","",""
"","65","renders trailing widget","test/src/ui/widgets/common/minglit_section_test.dart","2026-04-01","passed","2026-04-01","","MinglitSection","",""
"","20","parses successful certification result","test/src/features/iamport/data/model/iamport_result_model_test.dart","2026-04-01","passed","2026-04-01","fromJson","IamportResultModel","",""
"","32","sets loading then error on failure","test/src/features/auth/logic/auth_controller_test.dart","2026-04-01","passed","2026-04-01","signInWithGoogle","AuthController","",""
"","10","sets error state when certification fails from Iamport","test/src/features/iamport/logic/iamport_controller_test.dart","2026-04-01","passed","2026-04-01","onCertificationResult","IamportController","",""
"","14","throws StateError when required env vars are missing","test/src/config/env_keystore_test.dart","2026-04-01","passed","2026-04-01","validate","EnvKeyStore","",""
"","76","does not render CircleAvatar in app bar","test/src/features/home/home_page_app_bar_test.dart","2026-04-01","passed","2026-04-01","when user is not logged in","HomePage AppBar - Auth-aware widgets","",""
"","5","includes comment when provided","test/src/data/repositories/verification_command_repository_test.dart","2026-04-01","passed","2026-04-01","reviewRequest","VerificationRepository (command)","",""
"","4","handles nullable description and iconKey fields (Fix #42)","test/src/data/models/verification_test.dart","2026-04-01","passed","2026-04-01","","Verification","",""
"","4","calls EF with update action and is_active=true","test/src/data/repositories/verification_command_repository_test.dart","2026-04-01","passed","2026-04-01","restoreVerification","VerificationRepository (command)","",""
"","122","검색 결과 있음 → 이벤트 카드 리스트","test/integration/flow_search_curation_test.dart","2026-04-01","passed","2026-04-01","","SearchPage","",""
"","4","returns null and clears token when email is not @minglit.com","test/src/data/repositories/staff_repository_test.dart","2026-04-01","passed","2026-04-01","verifyStaffStatus","StaffRepository","",""
"","3","returns auth state stream from auth client","test/src/data/repositories/auth_repository_test.dart","2026-04-01","passed","2026-04-01","onAuthStateChange","AuthRepository","",""
"","3","returns refunded result with amount","test/src/data/repositories/event_repository_commands_test.dart","2026-04-01","passed","2026-04-01","cancelOrder","EventRepository Commands","",""
"","1049","has 14 tabs total","test/src/features/dev/design_catalog_page_test.dart","2026-04-01","passed","2026-04-01","","DesignCatalogPage tab structure","",""
"","18","omits reason fields when no reason was selected","test/src/data/repositories/account_repository_test.dart","2026-04-01","passed","2026-04-01","deleteAccount","AccountRepository","",""
"","5","returns events when user is not logged in","test/src/logic/providers/event_feed_provider_test.dart","2026-04-01","passed","2026-04-01","","eventFeedProvider — ticket filter regression (#778)","",""
"","42","initial state is empty string","test/src/features/explore/providers/explore_filter_integration_test.dart","2026-04-01","passed","2026-04-01","","SearchQuery provider","",""
"","5","returns events with null tickets when user is logged in","test/src/logic/providers/event_feed_provider_test.dart","2026-04-01","passed","2026-04-01","","eventFeedProvider — ticket filter regression (#778)","",""
"","6","tabBar uses partner primary","test/src/theme/minglit_theme_test.dart","2026-04-01","passed","2026-04-01","","partnerTheme","",""
"","2","paidAt null + within cutoff → full refund","test/src/utils/refund_calculator_test.dart","2026-04-01","passed","2026-04-01","","RefundCalculator binary policy","",""
"","9","inserts new draft when id is empty","test/src/data/repositories/partner_application_repository_test.dart","2026-04-01","passed","2026-04-01","saveDraft","PartnerApplicationRepository","",""
"","38","supports multiline input","test/src/ui/widgets/common/minglit_text_field_test.dart","2026-04-01","passed","2026-04-01","","MinglitTextField","",""
"","96","필수 동의 항목은 읽기 전용 ""동의됨""으로 표시된다","test/src/features/settings/privacy_page_test.dart","2026-04-01","passed","2026-04-01","","","",""
"","4","equality works","test/src/data/models/party_entry_group_test.dart","2026-04-01","passed","2026-04-01","","EntryGroupTemplate","",""
"","92","unverified user with eligibilityEnabled: true sees all events","test/src/features/explore/providers/explore_state_provider_test.dart","2026-04-01","passed","2026-04-01","","filteredEventsProvider — eligibility filter with verification check","",""
"","3","returns list of events for today","test/src/data/repositories/event_repository_queries_test.dart","2026-04-01","passed","2026-04-01","getTodayEvents","EventRepository Queries","",""
"","4","todayEvent is null when no events start today","test/src/features/my_tickets/logic/my_tickets_controller_test.dart","2026-04-01","passed","2026-04-01","","MyTicketsController","",""
"","60","renders today banner when today event exists","test/src/features/my_tickets/ui/my_tickets_page_test.dart","2026-04-01","passed","2026-04-01","","MyTicketsPage","",""
"","4","throws MinglitUserException on error response (partner)","test/src/data/repositories/verification_command_repository_test.dart","2026-04-01","passed","2026-04-01","submitComment with isPartner","VerificationRepository (command)","",""
"","8","detects todayEvent as most imminent event starting today","test/src/features/my_tickets/logic/my_tickets_controller_test.dart","2026-04-01","passed","2026-04-01","","MyTicketsController","",""
"","29","renders correctly with allowMultiple set to true","test/ui/widgets/common/minglit_file_picker_test.dart","2026-04-01","passed","2026-04-01","","MinglitFilePicker Widget Tests","",""
"","7","resets status to initial, preserving ticket and step","test/src/features/event/admission/event_application_controller_test.dart","2026-04-01","passed","2026-04-01","resetStatus","EventApplicationController","",""
"","9","does nothing when no ticket selected","test/src/features/event/admission/event_application_controller_test.dart","2026-04-01","passed","2026-04-01","submitApplication","EventApplicationController","",""
